Run	Barcode	Sample_ID	Dataset	Notes
ONT_mockecoli2_cont2	barcode02	MTE2F_cont2	ONT_mock_typeecoli_ecoliadapdet 	
ONT_mockecoli1_cont1	barcode03	MTE3F_cont	ONT_mock_typeecoli_staphadapdet	
ONT_mockecoli2_cont1	barcode03	MTE3F_cont1	ONT_mock_typeecoli_ecoliadapdet 	
ONT_mockecoli2_cont2	barcode03	MTE3F_cont2	ONT_mock_typeecoli_ecoliadapdet 	
ONT_mockecoli1_cont1	barcode04	MTE4F_cont	ONT_mock_typeecoli_staphadapdet	
ONT_mockecoli2_cont1	barcode04	MTE4F_cont1	ONT_mock_typeecoli_ecoliadapdet 	
ONT_mockecoli2_cont2	barcode04	MTE4F_cont2	ONT_mock_typeecoli_ecoliadapdet 	
ONT_mockstaph1_cont1	barcode01	MTS1G_cont1	ONT_mock_typestaph_staphadapdet	
ONT_mockstaph1_cont2	barcode01	MTS1G_cont2	ONT_mock_typestaph_staphadapdet	
ONT_mockstaph1_cont1	barcode02	MTS2G_cont1	ONT_mock_typestaph_staphadapdet	
ONT_mockstaph1_cont2	barcode02	MTS2G_cont2	ONT_mock_typestaph_staphadapdet	
ONT_mockskinpw1_cont1	barcode03	MTS3G_cont	ONT_mock_typestaph	
ONT_mockstaph1_cont1	barcode03	MTS3G_cont1	ONT_mock_typestaph_staphadapdet	
ONT_mockstaph1_cont2	barcode03	MTS3G_cont2	ONT_mock_typestaph_staphadapdet	
ONT_mockstaph1_cont1	barcode04	MTS4G_cont1	ONT_mock_typestaph_staphadapdet	
ONT_mockstaph1_cont2	barcode04	MTS4G_cont2	ONT_mock_typestaph_staphadapdet	
ONT_skin2_cont	barcode11	PC1C_cont		ONT_skin2 run first control
ONT_skin_cont	barcode11	PC1C_cont		ONT_skin2 run first control
ONT_skin2_cont3	barcode11	PC1C_cont2		"Previously ONT_skin2_adap3 due to attempt to perform in-house ONT adaptive sequencing, which was unsuccessful and resulted in an additional control run"
ONT_skin_cont	barcode11-2	PC1C_cont2		"Previously ONT_skin2_adap3 due to attempt to perform in-house ONT adaptive sequencing, which was unsuccessful and resulted in an additional control run"
ONT_mockstaph1_cont1	barcode09	TSG1_cont1	ONT_mock_typestaph_staphadapdet	
ONT_mockstaph1_cont2	barcode09	TSG1_cont2	ONT_mock_typestaph_staphadapdet	
