Run	Barcode	Sample_ID	Dataset	Notes
ONT_skin_cont	barcode02-2	LF2D_cont2		"Previously ONT_skin2_adap3 due to attempt to perform in-house ONT adaptive sequencing, which was unsuccessful and resulted in an additional control run"
ONT_skin3_cont	barcode02	LF2D2_cont		
ONT_skin2_cont	barcode03	LF3D_cont		ONT_skin2 run first control
ONT_skin_cont	barcode03	LF3D_cont		ONT_skin2 run first control
ONT_skin2_cont3	barcode03	LF3D_cont2		"Previously ONT_skin2_adap3 due to attempt to perform in-house ONT adaptive sequencing, which was unsuccessful and resulted in an additional control run"
ONT_skin_cont	barcode03-2	LF3D_cont2		"Previously ONT_skin2_adap3 due to attempt to perform in-house ONT adaptive sequencing, which was unsuccessful and resulted in an additional control run"
ONT_skin3_cont	barcode03	LF3D2_cont		
ONT_mockskinpw1_cont1	barcode01	PW71_cont	ONT_periwound	
ONT_mockskinpw1_cont1	barcode04	PW79_cont	ONT_periwound	
ONT_mockskinpw1_cont1	barcode05	PW81_cont	ONT_periwound	
ONT_mockskinpw1_cont1	barcode09	PW88_cont	ONT_periwound	
ONT_skin2_cont	barcode04	RF1D_cont		ONT_skin2 run first control
ONT_skin_cont	barcode04	RF1D_cont		ONT_skin2 run first control
ONT_skin2_cont3	barcode04	RF1D_cont2		"Previously ONT_skin2_adap3 due to attempt to perform in-house ONT adaptive sequencing, which was unsuccessful and resulted in an additional control run"
ONT_skin_cont	barcode04-2	RF1D_cont2		"Previously ONT_skin2_adap3 due to attempt to perform in-house ONT adaptive sequencing, which was unsuccessful and resulted in an additional control run"
ONT_skin3_cont	barcode04	RF1D2_cont		
ONT_skin2_cont	barcode05	RF2D_cont		ONT_skin2 run first control
ONT_skin_cont	barcode05	RF2D_cont		ONT_skin2 run first control
ONT_skin2_cont3	barcode05	RF2D_cont2		"Previously ONT_skin2_adap3 due to attempt to perform in-house ONT adaptive sequencing, which was unsuccessful and resulted in an additional control run"
ONT_skin_cont	barcode05-2	RF2D_cont2		"Previously ONT_skin2_adap3 due to attempt to perform in-house ONT adaptive sequencing, which was unsuccessful and resulted in an additional control run"
ONT_skin3_cont	barcode05	RF2D2_cont		
ONT_skin2_cont	barcode06	RF3D_cont		ONT_skin2 run first control
ONT_skin_cont	barcode06	RF3D_cont		ONT_skin2 run first control
ONT_skin2_cont3	barcode06	RF3D_cont2		"Previously ONT_skin2_adap3 due to attempt to perform in-house ONT adaptive sequencing, which was unsuccessful and resulted in an additional control run"
ONT_skin_cont	barcode06-2	RF3D_cont2		"Previously ONT_skin2_adap3 due to attempt to perform in-house ONT adaptive sequencing, which was unsuccessful and resulted in an additional control run"
ONT_skin3_cont	barcode06	RF3D2_cont		
