Run	Barcode	Sample_ID	Dataset	Notes
ONT_skinecoli1_adapdet1	barcode10	L2BTE_adap1	ONT_skin_typeecoli_ecoliadapdet	
ONT_skinecoli1_adapdet2	barcode10	L2BTE_adap2	ONT_skin_typeecoli_ecoliadapdet	
ONT_skinecoli1_cont1	barcode10	L2BTE_cont1	ONT_skin_typeecoli_ecoliadapdet	
ONT_skinecoli1_cont2	barcode10	L2BTE_cont2	ONT_skin_typeecoli_ecoliadapdet	
ONT_mockskinpw1_alladapdet1	barcode10	L2BTS_adap1	ONT_skin_typestaph_alladapdet 	
ONT_skinstaph1_adapdet1	barcode10	L2BTS_adap4	ONT_skin_typestaph_staphadapdet	
ONT_mockskinpw1_staphadapdet1	barcode10	L2BTS_adap2	ONT_skin_typestaph_staphadapdet	
ONT_skinstaph1_adapdet2	barcode10	L2BTS_adap3	ONT_skin_typestaph_staphadapdet	
ONT_mockskinpw1_cont1	barcode10	L2BTS_cont	ONT_skin_typestaph	
ONT_skinstaph1_cont1	barcode10	L2BTS_cont1	ONT_skin_typestaph_staphadapdet	
ONT_skinstaph1_cont2	barcode10	L2BTS_cont2	ONT_skin_typestaph_staphadapdet	
ONT_skinecoli1_adapdet1	barcode08	L2CCE_adap1	ONT_skin_clinicecoli_ecoliadapdet	
ONT_skinecoli1_adapdet2	barcode08	L2CCE_adap2	ONT_skin_clinicecoli_ecoliadapdet	
ONT_skinecoli1_cont1	barcode08	L2CCE_cont1	ONT_skin_clinicecoli_ecoliadapdet	
ONT_skinecoli1_cont2	barcode08	L2CCE_cont2	ONT_skin_clinicecoli_ecoliadapdet	
ONT_skinstaph1_adapdet2	barcode08	L2CCS_adap2	ONT_skin_clinicstaph_staphadapdet	
ONT_skinstaph1_cont1	barcode08	L2CCS_cont1	ONT_skin_clinicstaph_staphadapdet	
ONT_skinstaph1_cont2	barcode08	L2CCS_cont2	ONT_skin_clinicstaph_staphadapdet	
ONT_skinecoli1_adapdet1	barcode12a	L2CTE_adap1	ONT_skin_typeecoli_ecoliadapdet	
ONT_skinecoli1_adapdet2	barcode12a	L2CTE_adap2	ONT_skin_typeecoli_ecoliadapdet	
ONT_skinecoli1_cont1	barcode12a	L2CTE_cont1	ONT_skin_typeecoli_ecoliadapdet	
ONT_skinecoli1_cont2	barcode12a	L2CTE_cont2	ONT_skin_typeecoli_ecoliadapdet	
ONT_skinstaph1_adapdet1	barcode12a	L2CTS_adap1	ONT_skin_typestaph_staphadapdet	
ONT_skinstaph1_adapdet2	barcode12a	L2CTS_adap2	ONT_skin_typestaph_staphadapdet	
ONT_skinstaph1_cont1	barcode12a	L2CTS_cont1	ONT_skin_typestaph_staphadapdet	
ONT_skinstaph1_cont2	barcode12a	L2CTS_cont2	ONT_skin_typestaph_staphadapdet	
ONT_skinecoli1_adapdet1	barcode01	LF1B_adap1	ONT_skin_ecoliadapdet	
ONT_skinecoli1_adapdet2	barcode01	LF1B_adap2	ONT_skin_ecoliadapdet	
ONT_skinstaph1_adapdet2	barcode01	LF1B_adap3	ONT_skin_staphadapdet	
ONT_skinstaph1_adapdet1	barcode01	LF1B_adap4	ONT_skin_staphadapdet	
ONT_skinecoli1_cont1	barcode01	LF1B_cont1	ONT_skin_ecoliadapdet	
ONT_skinecoli1_cont2	barcode01	LF1B_cont2	ONT_skin_ecoliadapdet	
ONT_skinstaph1_cont2	barcode01	LF1B_cont3	ONT_skin_staphadapdet	
ONT_skinstaph1_cont1	barcode01	LF1B_cont4	ONT_skin_staphadapdet	
ONT_skinecoli1_adapdet1	barcode03	LF1C_adap1	ONT_skin_ecoliadapdet	
ONT_skinecoli1_adapdet2	barcode03	LF1C_adap2	ONT_skin_ecoliadapdet	
ONT_skinstaph1_adapdet2	barcode03	LF1C_adap3	ONT_skin_staphadapdet	
ONT_skinstaph1_adapdet1	barcode03	LF1C_adap4	ONT_skin_staphadapdet	
ONT_skinecoli1_cont1	barcode03	LF1C_cont1	ONT_skin_ecoliadapdet	
ONT_skinecoli1_cont2	barcode03	LF1C_cont2	ONT_skin_ecoliadapdet	
ONT_skinstaph1_cont2	barcode03	LF1C_cont3	ONT_skin_staphadapdet	
ONT_skinstaph1_cont1	barcode03	LF1C_cont4	ONT_skin_staphadapdet	
ONT_mockskinpw1_alladapdet1	barcode02	LF2B_adap	ONT_skin_alladapdet 	
ONT_skinecoli1_adapdet1	barcode02	LF2B_adap1	ONT_skin_ecoliadapdet	
ONT_skinecoli1_adapdet2	barcode02	LF2B_adap2	ONT_skin_ecoliadapdet	
ONT_skinstaph1_adapdet2	barcode02	LF2B_adap3	ONT_skin_staphadapdet	
ONT_skinstaph1_adapdet1	barcode02	LF2B_adap4	ONT_skin_staphadapdet	
ONT_mockskinpw1_staphadapdet1	barcode02	LF2B_adap5	ONT_skin_staphadapdet	
